Itgb1
Itgb5
Itgav
Met
AU040320
Hspg2
Fgfr1
Rpsa
Cd9
Arf1
Cdc42
Arhgap26
Stx5a
Ctsb
Ctsl
Npm1
Ncl
Fkbp4
Gpr108
Tm9sf2
B3gat3
Atp2c2
Rnf121
Atp6v0a2
Acp2
Ext1
Ndst1
Ext2
Cog7
Rgp1
Vps35l
Mre11a
Daxx
Egfr
Btg2
Rab1b
Phf5a
Sf3b1
U2af1
Tlr9
Cgas
Ifi204
Aim2
Sting1
Tbk1
Tnf
Il6
Il1b
Il18
Nbn
Mre11
Rad50
Mdc1
Rigi
Ifih1
Dhx58
Tlr2
Tlr4
Ube2i
Sae1
Uba2
Kmt5a
Sox15
Troap
Npat
Crb3
Morc3
Fancl
Fanca
Fancg
Atf7Ip
Fancb
Fancd2
Fance
4933407N01Rik
Cnot11
Setdb1
Trim33
Trp53
Cnot1
Simc1
Chaf1A
1700019D03Rik
Atm
Slc5a1
Smchd1
Usp28
Trim24
Dclre1A
Fam178A
Fancm
Smc6
Fancf
Fanci
Smc5
Mum1
Mospd2
Ube2t
Asf1a
Etaa1
Men1
Epc1
Nsmce4a
Cramp1l
Tmed10
Insr
Gpx1
Myd88
Vamp8
Plin3
Cdk11b
Thoc1
Thoc2
Alyref
Rab7
Rab11a
Sec23a
Dsp
Dsg1a
Krt27
Krt5
Hmga1
Stmn1
Hmgb2
Ddx39b
Snrnp27
Sart1
Vcl
Msn
Neu1
Gcnt4
Ctsa
Sez6
Fzd4
Syngr2
BC037156
Nkx6-3
Vsp37d
Fsd1
Vps29
Vps35
Vps51
Vps53
Vps54
Swip
Osbpl11
Rab6a
Trappc13
Cog8
Htt
Atp2c1
Slc35b2
Xylt2
B3galt6
B3galt7
Arpc2
Malat1
Dmxl1
Jtb
Naa38
Ccdc22
Arpc4
Commd3
Ints8
Hs6st1
Tspan4
Washc5
Gpr107
Osbpl9
Rabif
Cebpa
Atp6ap1
Atp6ap2
Tmem165
Phb2
Atp6v1e1
Slc39a9
Get1
Akap10
Ing2
Med12
Icmt
C1galt1
Papss2
Rpf2
Cog3
Cog4
Washc4
Gripap1
Glce
Slc35c2
Atp6v0d1
Slc35d2
Pgap2
Sec31a
Mapk1
Atp6v1d
Tnpo1
