Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Protein stable ID	Protein stable ID version	Gene name	Source of gene name
ENSMUSG00000094570	ENSMUSG00000094570.9	ENSMUST00000187293	ENSMUST00000187293.7	ENSMUSP00000140468	ENSMUSP00000140468.2	Gm20931	MGI Symbol
ENSMUSG00000100488	ENSMUSG00000100488.2	ENSMUST00000189412	ENSMUST00000189412.2			Gm29559	MGI Symbol
ENSMUSG00000099621	ENSMUSG00000099621.2	ENSMUST00000185282	ENSMUST00000185282.2			Gm20919	MGI Symbol
ENSMUSG00000095867	ENSMUSG00000095867.3	ENSMUST00000188706	ENSMUST00000188706.2	ENSMUSP00000140501	ENSMUSP00000140501.2	Gm20917	MGI Symbol
ENSMUSG00000095867	ENSMUSG00000095867.3	ENSMUST00000179922	ENSMUST00000179922.2	ENSMUSP00000137546	ENSMUSP00000137546.2	Gm20917	MGI Symbol
ENSMUSG00000100784	ENSMUSG00000100784.2	ENSMUST00000186378	ENSMUST00000186378.2			Gm28421	MGI Symbol
ENSMUSG00000101044	ENSMUSG00000101044.2	ENSMUST00000187340	ENSMUST00000187340.2			Gm28420	MGI Symbol
ENSMUSG00000099670	ENSMUSG00000099670.2	ENSMUST00000190701	ENSMUST00000190701.2			Gm28423	MGI Symbol
ENSMUSG00000099636	ENSMUSG00000099636.2	ENSMUST00000186112	ENSMUST00000186112.2			Gm28422	MGI Symbol
ENSMUSG00000099636	ENSMUSG00000099636.2	ENSMUST00000186849	ENSMUST00000186849.2			Gm28422	MGI Symbol
ENSMUSG00000094746	ENSMUSG00000094746.9	ENSMUST00000249273	ENSMUST00000249273.1	ENSMUSP00000159649	ENSMUSP00000159649.1	Gm20916	MGI Symbol
ENSMUSG00000094746	ENSMUSG00000094746.9	ENSMUST00000185338	ENSMUST00000185338.7	ENSMUSP00000140607	ENSMUSP00000140607.2	Gm20916	MGI Symbol
ENSMUSG00000100494	ENSMUSG00000100494.2	ENSMUST00000189114	ENSMUST00000189114.2			Gm29033	MGI Symbol
ENSMUSG00000101118	ENSMUSG00000101118.2	ENSMUST00000188099	ENSMUST00000188099.2			Gm29034	MGI Symbol
ENSMUSG00000101748	ENSMUSG00000101748.2	ENSMUST00000189122	ENSMUST00000189122.2			Gm21823	MGI Symbol
ENSMUSG00000100064	ENSMUSG00000100064.2	ENSMUST00000185845	ENSMUST00000185845.2			Gm28339	MGI Symbol
ENSMUSG00000095793	ENSMUSG00000095793.9	ENSMUST00000186996	ENSMUST00000186996.7	ENSMUSP00000140500	ENSMUSP00000140500.2	Gm20855	MGI Symbol
ENSMUSG00000095793	ENSMUSG00000095793.9	ENSMUST00000249274	ENSMUST00000249274.1	ENSMUSP00000159650	ENSMUSP00000159650.1	Gm20855	MGI Symbol
ENSMUSG00000100299	ENSMUSG00000100299.2	ENSMUST00000191489	ENSMUST00000191489.2			Gm28584	MGI Symbol
ENSMUSG00000101127	ENSMUSG00000101127.2	ENSMUST00000187587	ENSMUST00000187587.2			Gm28585	MGI Symbol
ENSMUSG00000096650	ENSMUSG00000096650.9	ENSMUST00000188585	ENSMUST00000188585.7	ENSMUSP00000139596	ENSMUSP00000139596.2	Gm20896	MGI Symbol
ENSMUSG00000102058	ENSMUSG00000102058.7	ENSMUST00000186912	ENSMUST00000186912.7			Gm28470	MGI Symbol
ENSMUSG00000102058	ENSMUSG00000102058.7	ENSMUST00000190138	ENSMUST00000190138.2			Gm28470	MGI Symbol
ENSMUSG00000102058	ENSMUSG00000102058.7	ENSMUST00000190482	ENSMUST00000190482.7			Gm28470	MGI Symbol
ENSMUSG00000100034	ENSMUSG00000100034.2	ENSMUST00000186374	ENSMUST00000186374.2			Gm28469	MGI Symbol
ENSMUSG00000099589	ENSMUSG00000099589.2	ENSMUST00000190727	ENSMUST00000190727.2			Gm21898	MGI Symbol
ENSMUSG00000101713	ENSMUSG00000101713.2	ENSMUST00000186549	ENSMUST00000186549.2			Gm28668	MGI Symbol
ENSMUSG00000101713	ENSMUSG00000101713.2	ENSMUST00000185428	ENSMUST00000185428.2			Gm28668	MGI Symbol
ENSMUSG00000099531	ENSMUSG00000099531.2	ENSMUST00000188958	ENSMUST00000188958.2	ENSMUSP00000139478	ENSMUSP00000139478.2	Gm20869	MGI Symbol
ENSMUSG00000100008	ENSMUSG00000100008.2	ENSMUST00000189231	ENSMUST00000189231.2			Gm28481	MGI Symbol
ENSMUSG00000101134	ENSMUSG00000101134.2	ENSMUST00000189350	ENSMUST00000189350.2			Gm28482	MGI Symbol
ENSMUSG00000100537	ENSMUSG00000100537.2	ENSMUST00000185300	ENSMUST00000185300.2			Gm28485	MGI Symbol
ENSMUSG00000100537	ENSMUSG00000100537.2	ENSMUST00000187125	ENSMUST00000187125.2			Gm28485	MGI Symbol
ENSMUSG00000094660	ENSMUSG00000094660.3	ENSMUST00000189463	ENSMUST00000189463.2	ENSMUSP00000141090	ENSMUSP00000141090.2	Gm21394	MGI Symbol
ENSMUSG00000094660	ENSMUSG00000094660.3	ENSMUST00000179523	ENSMUST00000179523.2	ENSMUSP00000136571	ENSMUSP00000136571.2	Gm21394	MGI Symbol
ENSMUSG00000101052	ENSMUSG00000101052.2	ENSMUST00000185994	ENSMUST00000185994.2			Gm28471	MGI Symbol
ENSMUSG00000100881	ENSMUSG00000100881.2	ENSMUST00000186810	ENSMUST00000186810.2			Gm21824	MGI Symbol
ENSMUSG00000101160	ENSMUSG00000101160.2	ENSMUST00000189318	ENSMUST00000189318.2			Gm29338	MGI Symbol
ENSMUSG00000101160	ENSMUSG00000101160.2	ENSMUST00000190234	ENSMUST00000190234.2			Gm29338	MGI Symbol
ENSMUSG00000099840	ENSMUSG00000099840.3	ENSMUST00000249275	ENSMUST00000249275.1	ENSMUSP00000159651	ENSMUSP00000159651.1	Gm21409	MGI Symbol
ENSMUSG00000099840	ENSMUSG00000099840.3	ENSMUST00000186110	ENSMUST00000186110.3	ENSMUSP00000140850	ENSMUSP00000140850.2	Gm21409	MGI Symbol
ENSMUSG00000099840	ENSMUSG00000099840.3	ENSMUST00000249276	ENSMUST00000249276.1	ENSMUSP00000159652	ENSMUSP00000159652.1	Gm21409	MGI Symbol
ENSMUSG00000100951	ENSMUSG00000100951.2	ENSMUST00000189613	ENSMUST00000189613.2			Gm29339	MGI Symbol
ENSMUSG00000101068	ENSMUSG00000101068.2	ENSMUST00000187621	ENSMUST00000187621.2			Gm28759	MGI Symbol
ENSMUSG00000101405	ENSMUSG00000101405.2	ENSMUST00000186123	ENSMUST00000186123.2			Gm28758	MGI Symbol
ENSMUSG00000099633	ENSMUSG00000099633.2	ENSMUST00000185729	ENSMUST00000185729.2			Gm29071	MGI Symbol
ENSMUSG00000099633	ENSMUSG00000099633.2	ENSMUST00000190261	ENSMUST00000190261.2			Gm29071	MGI Symbol
ENSMUSG00000100232	ENSMUSG00000100232.7	ENSMUST00000188701	ENSMUST00000188701.7			Gm28947	MGI Symbol
ENSMUSG00000100232	ENSMUSG00000100232.7	ENSMUST00000188506	ENSMUST00000188506.2			Gm28947	MGI Symbol
ENSMUSG00000100232	ENSMUSG00000100232.7	ENSMUST00000188627	ENSMUST00000188627.7			Gm28947	MGI Symbol
ENSMUSG00000100485	ENSMUSG00000100485.3	ENSMUST00000187477	ENSMUST00000187477.2	ENSMUSP00000140677	ENSMUSP00000140677.2	Gm20920	MGI Symbol
ENSMUSG00000100485	ENSMUSG00000100485.3	ENSMUST00000249277	ENSMUST00000249277.1	ENSMUSP00000159653	ENSMUSP00000159653.1	Gm20920	MGI Symbol
ENSMUSG00000101484	ENSMUSG00000101484.2	ENSMUST00000186372	ENSMUST00000186372.2			Gm28798	MGI Symbol
ENSMUSG00000100587	ENSMUSG00000100587.2	ENSMUST00000188543	ENSMUST00000188543.2			Gm28797	MGI Symbol
ENSMUSG00000099828	ENSMUSG00000099828.2	ENSMUST00000186905	ENSMUST00000186905.2			Gm28796	MGI Symbol
ENSMUSG00000101158	ENSMUSG00000101158.3	ENSMUST00000188864	ENSMUST00000188864.2	ENSMUSP00000141039	ENSMUSP00000141039.2	Gm20894	MGI Symbol
ENSMUSG00000101158	ENSMUSG00000101158.3	ENSMUST00000249278	ENSMUST00000249278.1	ENSMUSP00000159654	ENSMUSP00000159654.1	Gm20894	MGI Symbol
ENSMUSG00000101286	ENSMUSG00000101286.3	ENSMUST00000249279	ENSMUST00000249279.1	ENSMUSP00000159655	ENSMUSP00000159655.1	Gm21317	MGI Symbol
ENSMUSG00000101286	ENSMUSG00000101286.3	ENSMUST00000185636	ENSMUST00000185636.2	ENSMUSP00000140162	ENSMUSP00000140162.2	Gm21317	MGI Symbol
ENSMUSG00000100316	ENSMUSG00000100316.2	ENSMUST00000185963	ENSMUST00000185963.2			Gm28812	MGI Symbol
ENSMUSG00000101284	ENSMUSG00000101284.2	ENSMUST00000190650	ENSMUST00000190650.2			Gm28811	MGI Symbol
ENSMUSG00000100651	ENSMUSG00000100651.2	ENSMUST00000188173	ENSMUST00000188173.2			Gm28810	MGI Symbol
ENSMUSG00000101933	ENSMUSG00000101933.3	ENSMUST00000185565	ENSMUST00000185565.2	ENSMUSP00000140944	ENSMUSP00000140944.2	Gm20835	MGI Symbol
ENSMUSG00000101933	ENSMUSG00000101933.3	ENSMUST00000249280	ENSMUST00000249280.1	ENSMUSP00000159656	ENSMUSP00000159656.1	Gm20835	MGI Symbol
ENSMUSG00000100647	ENSMUSG00000100647.7	ENSMUST00000187571	ENSMUST00000187571.7			Gm29027	MGI Symbol
ENSMUSG00000100647	ENSMUSG00000100647.7	ENSMUST00000185319	ENSMUST00000185319.2			Gm29027	MGI Symbol
ENSMUSG00000100647	ENSMUSG00000100647.7	ENSMUST00000190559	ENSMUST00000190559.7			Gm29027	MGI Symbol
ENSMUSG00000099894	ENSMUSG00000099894.3	ENSMUST00000249281	ENSMUST00000249281.1	ENSMUSP00000159657	ENSMUSP00000159657.1	Gm20911	MGI Symbol
